Region,Country,Population,Facility Name,Facility Type,Number of Beds,Number of Doctors,Number of Nurses,Annual Patient Visits,Emergency Response Time (minutes),Funding Received (USD),Electricity Availability,Internet Availability,Patient Satisfaction Rate (%),Average Distance to Facility (km)
Northern Ghana,Ghana,7538,Northern Facility 492,Health Center,66,7,5,17933,33,55268,Yes,Yes,65.7,6.6
Eastern Nigeria,Nigeria,7617,Eastern Facility 493,Clinic,65,13,24,12245,13,85526,No,Yes,67.7,19.8
Southern Zambia,Zambia,3137,Southern Facility 494,Clinic,27,8,16,16292,58,79053,No,No,91.3,12.3
Southern Zambia,Zambia,8836,Southern Facility 495,Health Center,6,17,20,4688,18,65670,No,No,63.2,2.0
Central Senegal,Senegal,2960,Central Facility 496,Hospital,44,7,48,9927,41,172613,No,No,66.7,19.9
Northern Ghana,Ghana,1520,Northern Facility 497,Clinic,66,3,23,8577,58,41941,No,Yes,78.6,12.6
Southern Zambia,Zambia,6207,Southern Facility 498,Clinic,86,7,38,11615,13,143451,No,Yes,72.9,2.6
Western Kenya,Kenya,7747,Western Facility 499,Hospital,51,15,36,17196,7,152918,Yes,Yes,89.2,5.0
Western Kenya,Kenya,5183,Western Facility 500,Clinic,76,1,33,15885,33,166490,No,Yes,79.1,5.6
Eastern Nigeria,Nigeria,9778,Eastern Facility 501,Hospital,56,20,48,15560,20,49338,No,Yes,73.1,2.4
Central Senegal,Senegal,5274,Central Facility 502,Health Center,19,19,13,9262,45,130214,No,No,85.7,16.0
Northern Ghana,Ghana,8288,Northern Facility 503,Health Center,44,13,27,17118,19,94947,No,Yes,61.9,14.5
Central Senegal,Senegal,1993,Central Facility 504,Health Center,11,1,42,4216,27,50873,No,Yes,62.0,13.4
Western Kenya,Kenya,2431,Western Facility 505,Hospital,11,10,9,18089,32,177222,No,No,73.8,12.4
Dar es Salaam,Tanzania,2042,Dar Facility 506,Health Center,44,20,43,1697,45,74849,No,No,81.8,1.5
Eastern Nigeria,Nigeria,3099,Eastern Facility 507,Clinic,21,6,46,5324,19,127139,No,Yes,60.5,18.2
Central Malawi,Malawi,7039,Central Facility 508,Health Center,21,16,27,16510,60,109124,No,Yes,81.5,13.7
Central Senegal,Senegal,1375,Central Facility 509,Health Center,96,8,24,12193,31,157457,Yes,No,63.8,8.0
Southern Zambia,Zambia,6881,Southern Facility 510,Hospital,7,7,12,3962,28,110405,Yes,No,82.7,18.6
Eastern Ethiopia,Ethiopia,4642,Eastern Facility 511,Clinic,77,6,7,19421,60,137297,No,No,88.8,18.1
Western Uganda,Uganda,8640,Western Facility 512,Clinic,23,9,19,8915,51,183765,No,Yes,90.0,13.3
Northern Ghana,Ghana,2797,Northern Facility 513,Clinic,19,12,34,1430,37,116533,Yes,Yes,83.4,12.8
Dar es Salaam,Tanzania,7030,Dar Facility 514,Clinic,10,14,13,11552,6,56381,No,Yes,80.9,15.2
Eastern Rwanda,Rwanda,2146,Eastern Facility 515,Health Center,73,6,9,14562,32,181033,Yes,Yes,91.6,4.5
Eastern Rwanda,Rwanda,6529,Eastern Facility 516,Clinic,47,8,46,18649,27,196343,No,No,70.0,19.7
Eastern Nigeria,Nigeria,2808,Eastern Facility 517,Clinic,67,1,47,12641,45,16961,Yes,No,60.2,5.9
Eastern Nigeria,Nigeria,897,Eastern Facility 518,Clinic,8,13,17,18020,40,185663,No,No,70.6,3.7
Central Senegal,Senegal,4652,Central Facility 519,Clinic,78,14,42,17352,25,79664,Yes,Yes,73.3,15.7
Central Senegal,Senegal,4226,Central Facility 520,Hospital,43,8,32,12174,58,20352,No,Yes,93.8,2.5
Eastern Ethiopia,Ethiopia,3547,Eastern Facility 521,Clinic,45,9,39,9384,26,195153,No,Yes,80.1,7.8
Southern Zambia,Zambia,9532,Southern Facility 522,Clinic,11,13,11,1305,10,123657,No,No,82.3,15.4
Western Uganda,Uganda,2898,Western Facility 523,Clinic,78,8,5,12653,38,37640,Yes,Yes,83.3,17.4
Western Uganda,Uganda,4460,Western Facility 524,Hospital,64,11,33,1656,24,185644,Yes,No,64.5,11.5
Eastern Rwanda,Rwanda,1496,Eastern Facility 525,Clinic,82,7,10,11731,11,92492,No,Yes,61.9,18.4
Southern Zambia,Zambia,8621,Southern Facility 526,Clinic,38,13,35,2928,36,149866,No,Yes,83.9,1.4
Southern Zambia,Zambia,4819,Southern Facility 527,Health Center,23,17,42,3085,29,132527,Yes,No,93.9,2.7
Eastern Nigeria,Nigeria,2562,Eastern Facility 528,Health Center,60,11,45,7110,5,17566,Yes,Yes,89.9,9.4
Eastern Rwanda,Rwanda,5187,Eastern Facility 529,Hospital,79,5,6,11191,37,154374,No,No,68.5,7.0
Eastern Rwanda,Rwanda,8087,Eastern Facility 530,Health Center,23,8,41,9916,13,14092,No,No,65.0,15.5
Eastern Ethiopia,Ethiopia,3836,Eastern Facility 531,Clinic,48,15,25,1602,10,26696,No,Yes,81.2,7.4
Western Kenya,Kenya,8448,Western Facility 532,Health Center,55,5,25,15597,25,169413,Yes,Yes,85.1,16.9
Eastern Rwanda,Rwanda,1851,Eastern Facility 533,Hospital,57,17,29,14226,28,81787,Yes,No,88.0,11.9
Eastern Ethiopia,Ethiopia,1862,Eastern Facility 534,Health Center,85,5,10,12526,58,63948,No,Yes,81.7,5.6
Central Senegal,Senegal,2180,Central Facility 535,Health Center,38,19,49,10236,22,139102,No,No,92.4,14.6
Dar es Salaam,Tanzania,3153,Dar Facility 536,Health Center,66,3,33,17424,49,27223,No,No,89.2,11.5
Southern Zambia,Zambia,5553,Southern Facility 537,Clinic,19,6,26,7061,14,44752,No,No,89.8,8.3
Western Uganda,Uganda,9998,Western Facility 538,Clinic,24,15,9,2026,48,90737,Yes,No,61.7,14.1
Eastern Ethiopia,Ethiopia,8147,Eastern Facility 539,Clinic,66,15,30,4874,14,32490,Yes,No,67.5,17.0
Northern Ghana,Ghana,4371,Northern Facility 540,Hospital,6,17,50,7308,50,135198,No,Yes,86.6,13.4
Western Kenya,Kenya,4260,Western Facility 541,Clinic,28,15,44,10240,6,195628,No,Yes,85.7,10.8
Central Senegal,Senegal,1394,Central Facility 542,Clinic,92,12,47,5759,16,57941,No,Yes,74.5,19.1
Eastern Ethiopia,Ethiopia,630,Eastern Facility 543,Clinic,38,18,42,19986,40,121173,Yes,No,88.9,13.7
Eastern Nigeria,Nigeria,2752,Eastern Facility 544,Clinic,68,15,6,16651,40,121541,Yes,No,77.8,8.6
Western Uganda,Uganda,598,Western Facility 545,Clinic,52,7,8,1638,57,26403,No,No,87.1,7.7
Dar es Salaam,Tanzania,4047,Dar Facility 546,Hospital,35,20,33,19785,12,193987,Yes,No,88.3,19.0
Central Malawi,Malawi,9087,Central Facility 547,Health Center,76,18,33,16987,48,141510,No,Yes,67.7,2.6
Central Malawi,Malawi,1790,Central Facility 548,Hospital,52,8,11,2164,19,109694,Yes,No,74.7,11.7
Northern Ghana,Ghana,5780,Northern Facility 549,Health Center,78,12,38,9894,48,195492,Yes,No,82.2,10.7
Dar es Salaam,Tanzania,2073,Dar Facility 550,Health Center,46,8,26,15186,12,113484,No,No,72.9,11.4
Dar es Salaam,Tanzania,9197,Dar Facility 551,Health Center,85,13,36,1676,40,160556,Yes,Yes,65.5,10.5
Eastern Nigeria,Nigeria,1853,Eastern Facility 552,Hospital,72,7,18,7082,18,143205,Yes,Yes,63.2,10.9
Central Senegal,Senegal,2076,Central Facility 553,Health Center,83,12,41,18942,55,99019,Yes,No,63.6,9.7
Eastern Rwanda,Rwanda,7001,Eastern Facility 554,Hospital,57,7,5,1584,38,48159,No,Yes,79.5,2.0
Eastern Nigeria,Nigeria,915,Eastern Facility 555,Hospital,71,2,22,4648,51,108149,Yes,Yes,84.3,9.9
Dar es Salaam,Tanzania,6013,Dar Facility 556,Hospital,30,15,26,9674,55,180886,Yes,Yes,73.6,7.0
Southern Zambia,Zambia,6594,Southern Facility 557,Health Center,41,12,50,11166,38,84630,Yes,No,88.2,4.9
Dar es Salaam,Tanzania,5804,Dar Facility 558,Health Center,42,3,33,18786,8,84775,Yes,No,73.8,5.3
Central Senegal,Senegal,7865,Central Facility 559,Hospital,73,20,10,14887,11,111069,No,No,63.1,9.6
Northern Ghana,Ghana,8581,Northern Facility 560,Clinic,78,6,35,14173,54,97191,No,Yes,63.1,9.4
Western Kenya,Kenya,7755,Western Facility 561,Hospital,66,4,34,19278,13,194643,Yes,No,68.9,15.4
Central Malawi,Malawi,6091,Central Facility 562,Health Center,7,6,42,19934,30,177875,Yes,No,70.0,7.4
Northern Ghana,Ghana,8852,Northern Facility 563,Health Center,90,19,33,14965,48,100918,Yes,Yes,69.9,4.7
Central Senegal,Senegal,6636,Central Facility 564,Health Center,58,1,34,19518,52,93064,No,Yes,73.6,1.4
Central Malawi,Malawi,3486,Central Facility 565,Health Center,48,5,15,10406,13,198826,No,Yes,69.3,11.2
Central Malawi,Malawi,5017,Central Facility 566,Hospital,73,18,21,2425,42,67233,Yes,Yes,78.1,15.3
Northern Ghana,Ghana,2160,Northern Facility 567,Health Center,77,2,20,18203,12,80043,Yes,Yes,75.5,18.3
Central Senegal,Senegal,8560,Central Facility 568,Health Center,18,9,7,11362,51,51745,No,No,78.5,3.3
Eastern Nigeria,Nigeria,1081,Eastern Facility 569,Hospital,11,20,31,7085,55,21667,No,No,74.1,15.8
Western Kenya,Kenya,3816,Western Facility 570,Hospital,48,18,25,7846,37,22436,Yes,Yes,80.9,16.8
Central Senegal,Senegal,3484,Central Facility 571,Health Center,90,6,15,9594,36,108418,Yes,Yes,89.2,17.3
Central Malawi,Malawi,1222,Central Facility 572,Hospital,69,17,36,4131,46,170733,Yes,Yes,94.8,7.4
Central Senegal,Senegal,9172,Central Facility 573,Health Center,50,3,15,15595,32,53009,No,No,70.7,8.8
Eastern Nigeria,Nigeria,6405,Eastern Facility 574,Clinic,67,10,21,6676,21,165601,Yes,No,64.1,3.9
Northern Ghana,Ghana,2630,Northern Facility 575,Hospital,37,14,13,7724,42,30016,No,Yes,79.3,2.7
Eastern Ethiopia,Ethiopia,3581,Eastern Facility 576,Health Center,35,12,43,19691,47,177834,No,No,68.7,12.0
Eastern Ethiopia,Ethiopia,3217,Eastern Facility 577,Clinic,90,10,18,6287,27,173057,No,Yes,84.2,11.8
Northern Ghana,Ghana,2820,Northern Facility 578,Clinic,51,8,50,14682,26,162651,Yes,Yes,72.0,15.9
Eastern Ethiopia,Ethiopia,7070,Eastern Facility 579,Clinic,21,4,5,11573,45,127295,No,Yes,64.6,19.3
Central Senegal,Senegal,6352,Central Facility 580,Clinic,63,13,6,12322,41,149772,Yes,Yes,71.9,12.2
Western Kenya,Kenya,1408,Western Facility 581,Clinic,13,7,9,1543,35,129191,No,No,70.7,1.8
Northern Ghana,Ghana,7999,Northern Facility 582,Hospital,89,4,28,4923,7,197531,No,Yes,63.3,17.9
Eastern Rwanda,Rwanda,9304,Eastern Facility 583,Health Center,15,1,9,7541,20,143393,No,No,85.0,1.9
Western Kenya,Kenya,6810,Western Facility 584,Clinic,84,17,24,19159,55,26595,No,No,73.5,1.3
Western Uganda,Uganda,4843,Western Facility 585,Clinic,88,1,12,3798,42,88682,Yes,Yes,71.9,11.3
Central Malawi,Malawi,2462,Central Facility 586,Clinic,52,7,45,11963,57,170641,Yes,No,82.5,15.0
Eastern Rwanda,Rwanda,2445,Eastern Facility 587,Health Center,80,18,18,10896,57,69948,Yes,Yes,69.0,15.5
Eastern Nigeria,Nigeria,4618,Eastern Facility 588,Clinic,94,2,18,5546,17,34286,Yes,No,87.7,6.0
Southern Zambia,Zambia,4609,Southern Facility 589,Hospital,84,7,23,4816,43,14548,Yes,No,79.4,19.4
Eastern Rwanda,Rwanda,1246,Eastern Facility 590,Health Center,93,18,46,15618,60,62954,Yes,Yes,62.0,7.2
Eastern Ethiopia,Ethiopia,5336,Eastern Facility 591,Health Center,23,2,47,18728,56,53687,No,Yes,81.3,17.1
Central Malawi,Malawi,9419,Central Facility 592,Health Center,14,5,49,3547,47,145443,Yes,Yes,65.5,9.8
Northern Ghana,Ghana,6893,Northern Facility 593,Hospital,19,6,23,6126,23,116310,Yes,No,75.2,10.3
Central Malawi,Malawi,9808,Central Facility 594,Clinic,17,17,9,6735,9,112692,No,No,76.8,1.8
Eastern Rwanda,Rwanda,5747,Eastern Facility 595,Health Center,33,14,15,7696,12,143495,Yes,Yes,76.9,9.3
Eastern Ethiopia,Ethiopia,8393,Eastern Facility 596,Health Center,46,11,6,9901,59,16246,Yes,No,69.8,7.8
Dar es Salaam,Tanzania,1066,Dar Facility 597,Health Center,44,3,16,3892,30,68077,No,No,68.6,7.0
Central Malawi,Malawi,5465,Central Facility 598,Clinic,99,6,17,4221,18,27277,Yes,Yes,68.7,7.1
Northern Ghana,Ghana,3901,Northern Facility 599,Health Center,15,10,26,4734,7,55912,Yes,Yes,90.7,13.0
Western Kenya,Kenya,7967,Western Facility 600,Hospital,69,17,25,16125,31,172441,No,Yes,84.2,18.6
Eastern Rwanda,Rwanda,5363,Eastern Facility 601,Health Center,80,1,6,15302,46,68837,No,Yes,64.9,11.2
Southern Zambia,Zambia,1343,Southern Facility 602,Hospital,55,2,28,13201,21,86396,No,Yes,61.1,5.9
Western Uganda,Uganda,2314,Western Facility 603,Hospital,47,18,31,12442,47,130966,No,No,94.9,14.7
Eastern Nigeria,Nigeria,6549,Eastern Facility 604,Clinic,64,12,44,15505,48,163793,No,No,80.6,13.0
Western Kenya,Kenya,6542,Western Facility 605,Hospital,45,1,37,19073,42,18278,No,No,66.6,10.7
Western Uganda,Uganda,5570,Western Facility 606,Health Center,24,13,27,5896,43,64317,Yes,Yes,78.1,19.9
Southern Zambia,Zambia,6127,Southern Facility 607,Health Center,93,16,29,6581,41,173284,No,No,72.8,10.2
Eastern Ethiopia,Ethiopia,4857,Eastern Facility 608,Hospital,54,6,28,8638,58,83091,No,Yes,93.2,18.9
Eastern Ethiopia,Ethiopia,5636,Eastern Facility 609,Health Center,84,8,46,15950,14,79716,No,No,61.3,5.8
Western Kenya,Kenya,9937,Western Facility 610,Health Center,95,4,46,17275,53,34403,No,Yes,66.8,1.3
Dar es Salaam,Tanzania,9985,Dar Facility 611,Clinic,64,8,40,10330,43,182169,No,No,85.2,8.9
Dar es Salaam,Tanzania,6447,Dar Facility 612,Health Center,50,1,9,3751,29,79482,Yes,Yes,83.7,13.0
Western Kenya,Kenya,6368,Western Facility 613,Clinic,6,4,42,3439,23,42063,No,Yes,68.9,6.5
Central Malawi,Malawi,3960,Central Facility 614,Hospital,89,2,49,20000,38,44868,Yes,No,94.1,1.7
Southern Zambia,Zambia,8278,Southern Facility 615,Hospital,64,4,14,18377,25,114613,No,Yes,80.8,17.7
Southern Zambia,Zambia,2855,Southern Facility 616,Health Center,77,19,25,5606,25,44828,Yes,No,70.5,13.7
Western Uganda,Uganda,5565,Western Facility 617,Clinic,61,2,23,15158,19,20064,No,Yes,69.2,8.7
Eastern Rwanda,Rwanda,4219,Eastern Facility 618,Health Center,92,20,9,6503,29,20510,No,No,66.4,18.3
Eastern Ethiopia,Ethiopia,7210,Eastern Facility 619,Hospital,62,5,50,8781,48,60875,No,Yes,71.7,1.2
Western Kenya,Kenya,7516,Western Facility 620,Clinic,7,11,24,16916,43,117546,Yes,No,67.6,4.0
Eastern Ethiopia,Ethiopia,4617,Eastern Facility 621,Clinic,57,8,50,8008,49,149679,Yes,Yes,91.8,8.3
Central Malawi,Malawi,8154,Central Facility 622,Hospital,31,14,22,12908,48,40433,No,No,90.3,19.6
Eastern Rwanda,Rwanda,5750,Eastern Facility 623,Clinic,67,15,34,5617,39,48154,Yes,No,74.8,7.3
Western Uganda,Uganda,4822,Western Facility 624,Clinic,13,18,48,12993,60,72777,No,No,78.6,13.0
Dar es Salaam,Tanzania,5643,Dar Facility 625,Hospital,45,18,36,11996,26,86465,Yes,No,70.6,11.8
Eastern Nigeria,Nigeria,4787,Eastern Facility 626,Hospital,5,15,27,9850,27,195538,No,Yes,81.9,2.8
Eastern Rwanda,Rwanda,8593,Eastern Facility 627,Clinic,66,6,13,12794,38,57759,No,No,62.6,17.3
Eastern Ethiopia,Ethiopia,7409,Eastern Facility 628,Hospital,86,7,14,16087,24,127022,No,Yes,70.9,9.6
Southern Zambia,Zambia,1892,Southern Facility 629,Health Center,62,12,42,18529,11,139781,Yes,Yes,60.9,17.3
Dar es Salaam,Tanzania,2491,Dar Facility 630,Health Center,6,10,30,3136,50,79199,No,Yes,86.8,9.5
Western Kenya,Kenya,2384,Western Facility 631,Hospital,23,9,49,1606,13,177106,Yes,No,72.9,6.6
Southern Zambia,Zambia,956,Southern Facility 632,Clinic,57,16,39,1286,20,120548,No,No,88.1,11.1
Dar es Salaam,Tanzania,5736,Dar Facility 633,Clinic,44,2,12,12216,9,49715,Yes,No,77.6,1.4
Eastern Nigeria,Nigeria,3860,Eastern Facility 634,Hospital,74,2,16,13986,46,164678,Yes,No,76.8,14.6
Northern Ghana,Ghana,9119,Northern Facility 635,Hospital,82,13,43,3981,39,107198,No,No,84.4,7.6
Eastern Nigeria,Nigeria,1992,Eastern Facility 636,Clinic,77,3,17,17209,57,154167,Yes,No,81.6,5.7
Southern Zambia,Zambia,556,Southern Facility 637,Hospital,60,12,50,4502,21,29485,Yes,Yes,65.4,11.4
Central Malawi,Malawi,3044,Central Facility 638,Health Center,71,13,15,13721,60,164191,No,No,92.0,3.0
Western Kenya,Kenya,8937,Western Facility 639,Clinic,14,3,47,18880,22,65564,No,Yes,85.6,12.7
Dar es Salaam,Tanzania,9452,Dar Facility 640,Clinic,41,12,16,1698,48,77424,No,No,72.7,19.9
Western Uganda,Uganda,6210,Western Facility 641,Clinic,68,4,50,15634,10,170422,Yes,No,85.8,12.7
Western Uganda,Uganda,7375,Western Facility 642,Health Center,54,6,30,9888,20,128687,Yes,Yes,73.5,13.4
Western Uganda,Uganda,1797,Western Facility 643,Health Center,89,4,47,2057,9,174371,Yes,No,74.0,11.1
Western Kenya,Kenya,1117,Western Facility 644,Clinic,12,6,42,2640,22,99638,No,Yes,88.8,19.7
Western Kenya,Kenya,8401,Western Facility 645,Health Center,65,8,36,12765,47,90655,No,No,79.1,1.4
Central Senegal,Senegal,3501,Central Facility 646,Health Center,94,6,20,7650,38,57091,Yes,Yes,70.4,14.3
Eastern Ethiopia,Ethiopia,6254,Eastern Facility 647,Clinic,11,15,21,5517,25,139741,No,Yes,87.9,12.5
Western Uganda,Uganda,1815,Western Facility 648,Hospital,19,12,11,18240,21,91911,No,No,60.8,2.0
Eastern Ethiopia,Ethiopia,4911,Eastern Facility 649,Health Center,46,14,20,13588,31,40246,Yes,Yes,79.4,12.1
Eastern Rwanda,Rwanda,4277,Eastern Facility 650,Health Center,14,10,13,15172,50,75452,No,No,75.6,16.6
Eastern Ethiopia,Ethiopia,3249,Eastern Facility 651,Clinic,31,15,44,8209,27,19062,Yes,Yes,91.1,8.2
Western Uganda,Uganda,6251,Western Facility 652,Clinic,22,13,49,19665,59,17122,Yes,Yes,71.7,1.1
Central Malawi,Malawi,8011,Central Facility 653,Clinic,62,12,24,7466,51,54998,No,Yes,74.9,18.0
Western Uganda,Uganda,4827,Western Facility 654,Health Center,22,18,13,2754,37,161395,No,Yes,90.2,10.7
Eastern Rwanda,Rwanda,5482,Eastern Facility 655,Hospital,10,10,41,10170,31,154673,No,No,61.9,10.5
Western Uganda,Uganda,2161,Western Facility 656,Health Center,76,12,45,2147,44,31818,Yes,No,92.4,15.2
Western Kenya,Kenya,8659,Western Facility 657,Health Center,60,17,49,8657,59,55017,No,No,93.8,9.1
Eastern Ethiopia,Ethiopia,8759,Eastern Facility 658,Health Center,97,20,30,14481,29,38585,Yes,No,71.2,19.5
Dar es Salaam,Tanzania,1124,Dar Facility 659,Clinic,42,10,32,9948,28,72889,No,Yes,60.5,18.6
Central Malawi,Malawi,9770,Central Facility 660,Health Center,79,18,23,19347,24,14122,Yes,Yes,64.5,11.7
Western Kenya,Kenya,2794,Western Facility 661,Clinic,55,8,9,15666,31,153731,Yes,Yes,84.4,14.5
Western Uganda,Uganda,5337,Western Facility 662,Clinic,40,4,42,8311,18,65700,Yes,Yes,79.1,7.8
Northern Ghana,Ghana,1111,Northern Facility 663,Hospital,57,8,26,4675,53,120464,Yes,Yes,85.1,6.8
Western Uganda,Uganda,8231,Western Facility 664,Clinic,51,2,48,11795,55,64882,Yes,Yes,91.8,4.7
Western Kenya,Kenya,7107,Western Facility 665,Clinic,49,11,48,15965,17,196910,No,No,73.7,19.9
Northern Ghana,Ghana,4674,Northern Facility 666,Hospital,86,2,27,16948,37,36520,No,No,87.5,8.6
Eastern Rwanda,Rwanda,8626,Eastern Facility 667,Clinic,43,20,16,18859,8,50780,No,Yes,63.0,7.3
Eastern Rwanda,Rwanda,4446,Eastern Facility 668,Health Center,77,17,28,7846,18,99299,Yes,Yes,64.3,7.2
Central Senegal,Senegal,3944,Central Facility 669,Hospital,68,7,11,11214,34,158630,Yes,Yes,73.8,15.7
Southern Zambia,Zambia,6124,Southern Facility 670,Health Center,28,15,16,1689,32,115209,No,Yes,72.8,10.7
Central Senegal,Senegal,747,Central Facility 671,Clinic,51,14,28,13978,21,76288,Yes,Yes,66.1,19.3
Western Uganda,Uganda,4574,Western Facility 672,Health Center,79,12,15,12567,49,112967,No,Yes,60.0,5.4
Eastern Rwanda,Rwanda,2174,Eastern Facility 673,Health Center,79,6,19,8300,46,57020,No,No,61.3,11.2
Northern Ghana,Ghana,3242,Northern Facility 674,Hospital,93,14,44,12148,12,28530,No,No,66.8,4.9
Western Kenya,Kenya,3300,Western Facility 675,Hospital,69,12,14,16331,18,161102,No,No,87.7,7.2
Northern Ghana,Ghana,8440,Northern Facility 676,Hospital,37,7,48,17977,59,41007,Yes,No,66.6,17.3
Eastern Ethiopia,Ethiopia,8862,Eastern Facility 677,Health Center,59,18,15,15270,41,97256,No,Yes,72.2,17.5
Central Senegal,Senegal,3537,Central Facility 678,Clinic,50,4,45,10399,50,165809,Yes,Yes,89.0,7.7
Dar es Salaam,Tanzania,6972,Dar Facility 679,Health Center,41,16,50,17021,12,73744,Yes,Yes,86.3,11.5
Central Senegal,Senegal,8407,Central Facility 680,Hospital,57,14,24,10358,40,157121,Yes,Yes,85.3,19.3
Western Uganda,Uganda,5393,Western Facility 681,Health Center,13,14,29,2086,49,81483,Yes,Yes,64.1,11.4
Eastern Ethiopia,Ethiopia,6848,Eastern Facility 682,Hospital,40,2,32,19521,34,123958,No,Yes,81.2,4.9
Eastern Rwanda,Rwanda,6053,Eastern Facility 683,Hospital,94,17,16,17370,30,126320,Yes,No,67.2,1.9
Northern Ghana,Ghana,3276,Northern Facility 684,Health Center,64,20,47,18043,7,92639,Yes,Yes,76.2,13.9
Western Kenya,Kenya,8235,Western Facility 685,Clinic,43,12,36,11412,23,166091,No,Yes,63.8,8.6
Southern Zambia,Zambia,5102,Southern Facility 686,Clinic,75,20,29,16215,29,28537,No,No,87.4,11.2
Dar es Salaam,Tanzania,7949,Dar Facility 687,Health Center,39,4,17,5525,50,169065,No,No,84.5,7.3
Southern Zambia,Zambia,3731,Southern Facility 688,Health Center,73,16,11,1029,43,90554,Yes,No,72.9,19.6
Central Senegal,Senegal,9725,Central Facility 689,Clinic,45,9,15,9335,47,10467,Yes,No,64.0,16.0
Central Senegal,Senegal,7246,Central Facility 690,Health Center,43,11,20,4763,26,118776,No,No,64.6,15.8
Dar es Salaam,Tanzania,5016,Dar Facility 691,Health Center,90,13,35,19348,29,170759,Yes,No,76.3,15.5
Western Kenya,Kenya,7760,Western Facility 692,Health Center,83,5,45,9323,25,138845,No,No,75.5,7.2
Eastern Nigeria,Nigeria,4827,Eastern Facility 693,Health Center,9,14,20,8972,27,190523,Yes,No,92.2,19.7
Western Kenya,Kenya,1132,Western Facility 694,Hospital,50,15,40,12174,37,131276,No,Yes,70.5,4.3
Western Uganda,Uganda,2041,Western Facility 695,Hospital,40,14,27,3642,27,134178,No,No,68.9,8.5
Central Senegal,Senegal,5621,Central Facility 696,Clinic,77,3,7,17194,11,75410,No,No,93.5,8.0
Dar es Salaam,Tanzania,8906,Dar Facility 697,Health Center,38,2,30,3014,40,43868,No,Yes,72.5,10.7
Eastern Rwanda,Rwanda,7524,Eastern Facility 698,Clinic,62,16,16,17847,60,53785,No,No,72.5,19.5
Eastern Rwanda,Rwanda,3326,Eastern Facility 699,Health Center,50,11,28,6982,16,190658,No,No,82.7,1.4
Southern Zambia,Zambia,5600,Southern Facility 700,Health Center,31,15,31,9535,59,188234,Yes,No,62.3,18.2
Southern Zambia,Zambia,8875,Southern Facility 701,Clinic,58,13,28,18935,17,119995,No,Yes,65.1,7.9
Dar es Salaam,Tanzania,3177,Dar Facility 702,Hospital,89,12,28,3231,25,143385,No,Yes,83.3,11.5
Southern Zambia,Zambia,3148,Southern Facility 703,Hospital,98,8,26,17837,35,16146,No,Yes,94.6,16.2
Western Uganda,Uganda,7755,Western Facility 704,Hospital,86,20,25,18569,6,23208,No,Yes,63.7,4.6
Central Senegal,Senegal,8130,Central Facility 705,Hospital,33,2,46,4359,11,17162,No,Yes,79.5,16.2
Dar es Salaam,Tanzania,1868,Dar Facility 706,Hospital,14,1,22,4185,47,176733,No,No,70.2,15.1
Eastern Rwanda,Rwanda,2207,Eastern Facility 707,Hospital,11,6,12,13096,48,124328,No,No,72.8,18.0
Western Uganda,Uganda,3150,Western Facility 708,Clinic,50,2,6,17354,34,128940,Yes,Yes,60.4,2.4
Dar es Salaam,Tanzania,7816,Dar Facility 709,Hospital,26,3,28,19254,26,101738,Yes,No,94.5,6.5
Southern Zambia,Zambia,6917,Southern Facility 710,Hospital,45,4,34,6569,25,97285,No,No,85.8,12.7
Western Uganda,Uganda,8332,Western Facility 711,Health Center,87,16,6,8888,47,42176,Yes,No,62.1,15.3
Dar es Salaam,Tanzania,8572,Dar Facility 712,Clinic,40,7,9,16108,53,131168,No,Yes,63.1,6.9
Dar es Salaam,Tanzania,5340,Dar Facility 713,Hospital,32,4,14,17930,60,85815,No,No,74.7,19.6
Western Kenya,Kenya,649,Western Facility 714,Hospital,20,12,20,12421,47,69834,No,Yes,90.6,6.8
Dar es Salaam,Tanzania,2109,Dar Facility 715,Clinic,17,4,50,14000,53,148789,Yes,No,70.1,18.7
Central Malawi,Malawi,7547,Central Facility 716,Health Center,19,13,11,8803,30,179954,Yes,Yes,83.2,5.2
Western Kenya,Kenya,9535,Western Facility 717,Health Center,64,5,43,16158,28,128427,Yes,No,86.4,5.7
Central Malawi,Malawi,9790,Central Facility 718,Health Center,40,8,30,15258,24,80319,Yes,No,77.9,3.3
Western Uganda,Uganda,6058,Western Facility 719,Clinic,66,10,49,12690,26,44529,Yes,No,72.7,10.9
Eastern Nigeria,Nigeria,6696,Eastern Facility 720,Health Center,90,7,9,6698,32,43536,No,No,61.1,11.9
Central Malawi,Malawi,5479,Central Facility 721,Hospital,39,3,42,17164,58,196746,Yes,Yes,74.6,6.3
Central Senegal,Senegal,7258,Central Facility 722,Clinic,83,16,19,2431,47,127151,Yes,Yes,71.9,2.5
Western Kenya,Kenya,6556,Western Facility 723,Hospital,45,4,44,19611,14,144091,Yes,No,82.5,10.4
Southern Zambia,Zambia,6819,Southern Facility 724,Health Center,93,8,43,13208,6,154271,No,Yes,62.8,19.5
Northern Ghana,Ghana,916,Northern Facility 725,Clinic,69,7,47,9478,19,114286,No,Yes,67.2,10.1
Central Senegal,Senegal,7538,Central Facility 726,Clinic,26,5,40,19959,25,26086,Yes,Yes,85.1,18.9
Eastern Rwanda,Rwanda,5060,Eastern Facility 727,Clinic,63,18,44,14771,55,103673,No,No,63.7,19.9
Southern Zambia,Zambia,6876,Southern Facility 728,Clinic,37,13,36,11976,46,169613,No,Yes,68.8,11.6
